순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
227,003240,태광산업,"752,000","12,000","1.6","808","602,426,000","741,000","752,000","741,000","837,276,800,000","0.05","1,113,400",,,
228,023590,다우기술,"18,650","350","1.9","227,617","4,249,465,150","18,300","18,950","18,300","836,762,407,050","0.05","44,866,617",,,
229,336260,두산퓨얼셀,"15,050","100","0.7","1,845,542","27,400,901,450","14,650","15,500","14,050","835,180,576,300","0.05","55,493,726",,,
230,092190,서울바이오시스,"21,800","450","2.1","1,751,558","37,552,793,000","21,650","22,100","20,800","833,275,635,400","0.05","38,223,653",,,
231,006040,동원산업,"225,500","-500","-0.2","6,463","1,451,317,500","227,500","230,000","222,500","829,308,045,500","0.05","3,677,641",,,
232,034310,NICE,"21,850","50","0.2","20,261","441,253,350","21,600","22,000","21,500","827,728,255,000","0.05","37,882,300",,,
233,046890,서울반도체,"14,100","200","1.4","803,967","11,231,100,950","13,950","14,150","13,850","822,106,140,000","0.05","58,305,400",,,
234,005440,현대그린푸드,"8,400","100","1.2","386,073","3,226,608,380","8,330","8,450","8,280","820,717,648,800","0.05","97,704,482",,,
235,057050,현대홈쇼핑,"67,400","400","0.6","31,555","2,115,127,300","66,200","67,600","66,000","808,800,000,000","0.05","12,000,000",,,
236,028150,GS홈쇼핑,"122,400","3,100","2.6","19,583","2,364,277,700","119,300","122,400","117,600","803,250,000,000","0.05","6,562,500",,,
237,280360,롯데제과,"125,000","4,000","3.3","12,609","1,547,465,500","125,000","125,500","121,000","802,089,625,000","0.05","6,416,717",,,
238,214370,케어젠,"73,200","1,600","2.2","133,509","9,874,014,700","73,200","74,800","72,700","786,387,600,000","0.05","10,743,000",,,
239,268600,셀리버리,"95,700","8,200","9.4","1,314,830","120,473,928,100","87,100","95,800","86,700","780,635,139,900","0.05","8,157,107",,,
240,213420,덕산네오룩스,"32,350","500","1.6","294,724","9,436,631,450","31,800","32,500","31,300","776,723,888,200","0.05","24,010,012",,,
241,049770,동원F&B,"201,000","5,000","2.6","5,051","1,010,718,000","196,000","201,500","196,000","775,683,924,000","0.05","3,859,124",,,
242,204270,제이앤티씨,"13,400","1,100","8.9","1,069,231","14,060,107,100","12,450","13,600","12,450","775,169,444,400","0.05","57,848,466",,,
243,078130,국일제지,"6,080","10","0.2","6,066,154","36,933,956,850","6,020","6,240","5,970","768,198,174,720","0.05","126,348,384",,,
244,020000,한섬,"31,150","900","3.0","116,754","3,603,793,900","30,400","31,300","30,250","767,224,500,000","0.05","24,630,000",,,
245,033640,네패스,"32,850","300","0.9","824,905","26,993,842,300","32,500","33,150","32,100","757,494,785,700","0.05","23,059,202",,,
246,079550,LIG넥스원,"34,300","-1,550","-4.3","298,195","10,293,793,150","35,600","35,650","34,100","754,600,000,000","0.05","22,000,000",,,
247,093370,후성,"8,120","130","1.6","1,737,371","14,113,271,900","8,070","8,220","8,010","751,967,370,280","0.05","92,606,819",,,
248,170900,동아에스티,"88,500","1,700","2.0","24,303","2,129,709,300","86,700","88,500","86,600","747,282,318,000","0.04","8,443,868",,,
249,001060,JW중외제약,"35,700","1,050","3.0","772,873","27,427,137,100","35,000","36,350","34,600","746,845,927,800","0.04","20,920,054",,,
250,022100,포스코 ICT,"4,890","125","2.6","582,931","2,825,543,510","4,765","4,905","4,745","743,449,824,810","0.04","152,034,729",,,
251,112610,씨에스윈드,"42,200","400","1.0","157,604","6,660,089,950","42,150","43,000","41,500","729,457,173,000","0.04","17,285,715",,,
252,018670,SK가스,"78,600","2,400","3.2","6,540","511,897,800","77,000","78,900","77,000","725,497,178,400","0.04","9,230,244",,,
253,033660,아주캐피탈,"12,600","300","2.4","8,247","102,593,250","12,200","12,600","12,200","725,078,214,000","0.04","57,545,890",,,
254,003850,보령제약,"15,200","450","3.0","2,165,135","33,353,480,400","14,750","16,100","14,550","723,824,000,000","0.04","47,620,000",,,
255,141080,레고켐바이오,"66,900","15,400","29.9","1,816,409","113,886,319,600","58,800","66,900","57,500","720,519,756,900","0.04","10,770,101",,,
256,067160,아프리카TV,"61,400","2,500","4.2","232,818","14,175,623,100","59,000","61,600","58,500","705,778,693,800","0.04","11,494,767",,,
257,069260,휴켐스,"17,050","150","0.9","90,476","1,539,039,400","16,900","17,150","16,800","696,979,925,400","0.04","40,878,588",,,
258,008350,남선알미늄,"6,300","-40","-0.6","8,693,346","55,168,845,930","6,380","6,460","6,280","694,128,267,000","0.04","110,179,090",,,
259,115390,락앤락,"12,750","550","4.5","349,620","4,418,676,950","12,300","12,900","12,300","690,879,150,000","0.04","54,186,600",,,
260,237690,에스티팜,"36,700","-200","-0.5","120,712","4,398,945,900","36,250","36,750","36,150","684,675,200,000","0.04","18,656,000",,,
261,115450,지트리비앤티,"26,700","1,000","3.9","350,795","9,210,136,900","25,700","26,700","25,700","681,616,396,800","0.04","25,528,704",,,
262,003380,하림지주,"7,380","280","3.9","228,922","1,658,281,340","7,140","7,380","7,130","681,482,631,600","0.04","92,341,820",,,
263,039200,오스코텍,"23,050","1,200","5.5","464,587","10,547,444,150","21,950","23,100","21,850","673,067,168,550","0.04","29,200,311",,,
264,018250,애경산업,"25,350","350","1.4","64,442","1,625,168,100","24,900","25,400","24,850","669,491,852,250","0.04","26,409,935",,,
265,071840,롯데하이마트,"28,300","800","2.9","94,288","2,668,333,850","27,700","28,600","27,600","668,098,249,600","0.04","23,607,712",,,
266,078070,유비쿼스홀딩스,"35,650","300","0.8","178,625","6,336,310,050","35,350","36,050","34,850","666,534,788,200","0.04","18,696,628",,,
267,108320,실리콘웍스,"40,950","4,000","10.8","607,850","24,576,336,650","37,650","41,350","37,550","666,023,085,000","0.04","16,264,300",,,
268,005850,에스엘,"13,800","0","0.0","0","0","0","0","0","665,205,222,600","0.04","48,203,277",,,
269,235980,메드팩토,"65,400","-2,900","-4.2","704,894","47,145,396,900","66,900","69,600","64,300","664,295,333,400","0.04","10,157,421",,,
270,035600,KG이니시스,"23,800","500","2.2","280,521","6,644,889,500","23,600","24,000","23,500","664,125,529,200","0.04","27,904,434",,,
271,001440,대한전선,"774","3","0.4","1,208,327","933,023,737","762","783","762","662,910,108,966","0.04","856,473,009",,,
272,069080,웹젠,"18,700","350","1.9","254,463","4,751,708,450","18,400","19,000","18,400","660,313,530,800","0.04","35,310,884",,,
273,267980,매일유업,"83,900","3,000","3.7","26,123","2,171,716,600","81,400","84,100","81,300","658,081,228,200","0.04","7,843,638",,,
274,002320,한진,"54,800","1,100","2.0","106,133","5,785,472,000","54,000","55,400","53,200","656,211,148,800","0.04","11,974,656",,,
275,183490,엔지켐생명과학,"78,800","4,300","5.8","132,723","10,211,283,700","74,900","78,800","74,900","645,703,669,200","0.04","8,194,209",,,
276,005180,빙그레,"65,200","2,100","3.3","78,851","5,132,783,300","63,800","66,200","63,800","642,300,913,200","0.04","9,851,241",,,
277,052690,한전기술,"16,750","200","1.2","87,899","1,463,744,650","16,550","16,850","16,450","640,185,000,000","0.04","38,220,000",,,
278,108670,LG하우시스,"70,700","2,500","3.7","164,651","11,581,597,700","68,500","71,300","68,000","634,014,269,000","0.04","8,967,670",,,
279,286940,롯데정보통신,"41,000","1,400","3.5","160,417","6,525,348,650","40,300","41,450","38,950","631,249,571,000","0.04","15,396,331",,,
280,041510,에스엠,"26,900","900","3.5","276,187","7,358,145,100","26,300","26,950","26,200","630,791,576,900","0.04","23,449,501",,,
